Client;Contract;ContractGroup;Square;SquareNumber;OverLimitPriority;UnderLimitPriority;SquareGroup;DeliveryName;OffsetPlan;GoodDistribution;DataType;Day01;Day02;Day03;Day04;Day05;Day06;Day07;Day08;Day09;Day10;Day11;Day12;Day13;Day14;Day15;Day16;Day17;Day18;Day19;Day20;Day21;Day22;Day23;Day24;Day25;Day26;Day27;Day28;Day29;Day30;Day31
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Савушкина ул., д.119;78-1-8234;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";1,1;;Plan;3,067;3,067;3,067;3,067;3,067;3,067;3,067;3,067;3,067;3,067;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;3,067;3,066;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Савушкина ул., д.119;78-1-8234;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";;Нет;Fact;3,791;3,852;3,697;3,579;3,284;2,88;2,235;2,89;3,343;3,247;3,686;4,044;3,824;3,412;2,763;2,467;2,285;2,25;2,123;2,766;1,873;1,461;1,498;0,978;0,831;0,71;1,416;2,097;1,595;0,83;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Заневский пр., д.65;78-1-8235;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";1,1;;Plan;1,367;1,367;1,367;1,367;1,367;1,367;1,367;1,367;1,367;1,367;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;1,367;1,366;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Заневский пр., д.65;78-1-8235;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";;Нет;Fact;1,32;1,316;1,349;1,381;1,352;1,015;0,845;1,079;1,065;1,055;1,166;1,026;1,177;1,086;0,877;0,831;0,766;0,712;0,662;0,928;0,627;0,479;0,446;0,337;0,294;0,267;0,488;0,804;0,676;0,399;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Выборгское шоссе, д.3;78-1-8236;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";1,1;;Plan;0,767;0,767;0,767;0,767;0,767;0,767;0,767;0,767;0,767;0,767;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;0,767;0,766;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Выборгское шоссе, д.3;78-1-8236;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";;Нет;Fact;0,826;0,79;0,79;0,813;0,801;0,626;0,51;0,649;0,768;0,864;0,936;0,805;0,796;0,717;0,619;0,557;0,506;0,483;0,451;0,609;0,432;0,323;0,324;0,253;0,195;0,141;0,281;0,481;0,428;0,262;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Выборгское шоссе, д.19;78-1-8238;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";1,1;;Plan;0,967;0,967;0,967;0,967;0,967;0,967;0,967;0,967;0,967;0,967;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;0,967;0,966;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Выборгское шоссе, д.19;78-1-8238;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";;Нет;Fact;0,862;0,861;0,878;0,919;0,924;0,761;0,577;0,709;0,847;0,9;0,958;0,866;0,842;0,745;0,633;0,601;0,555;0,531;0,49;0,649;0,487;0,374;0,364;0,243;0,233;0,153;0,308;0,509;0,476;0,279;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Богатырский пр., д.13;78-1-8237;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";1,1;;Plan;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;0,7;
ДОРИНДА;78-АТ-8119;78-А-8119 и 78-АТ-8119;Санкт-Петербург, Богатырский пр., д.13;78-1-8237;3;4;Common;"ООО ""Межрегионгаз"", К-5-Д5-62-0170/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 121";;Нет;Fact;0,756;0,736;0,841;0,863;0,948;0,73;0,609;0,685;0,733;0,746;0,809;0,752;0,748;0,708;0,618;0,591;0,547;0,528;0,474;0,551;0,448;0,366;0,358;0,234;0,212;0,16;0,248;0,352;0,317;0,216;
