Client;Contract;ContractGroup;Square;SquareNumber;OverLimitPriority;UnderLimitPriority;SquareGroup;DeliveryName;OffsetPlan;GoodDistribution;DataType;Day01;Day02;Day03;Day04;Day05;Day06;Day07;Day08;Day09;Day10;Day11;Day12;Day13;Day14;Day15;Day16;Day17;Day18;Day19;Day20;Day21;Day22;Day23;Day24;Day25;Day26;Day27;Day28;Day29;Day30;Day31
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Ленинградская область, р-н Ломоносовский, сел.пос. Виллозское, Офицерское село квартал 2;47-1-10183;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";1,1;;План;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,934;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;0,933;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Ленинградская область, р-н Ломоносовский, сел.пос. Виллозское, Офицерское село квартал 2;47-1-10183;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";;Нет;Факт;3,108;3,154;2,458;3,355;3,461;3,546;3,636;3,406;3,245;3,247;3,362;3,085;3,21;3,306;3,41;3,427;3,406;3,329;3,366;3,217;3,252;3,991;2,274;2,43;2,261;2,114;2,351;2,983;3,233;2,748;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Аэродромная ул. , пересечение с Коломяжским пр.;78-1-7841;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";1,1;;План;1,067;1,067;1,067;1,067;1,067;1,067;1,067;1,067;1,067;1,067;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;1,067;1,066;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Аэродромная ул. , пересечение с Коломяжским пр.;78-1-7841;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";;Нет;Факт;0,524;0,517;0,378;0,542;0,549;0,553;0,518;0,541;0,518;0,558;0,597;0,55;0,549;0,535;0,418;0,434;0,447;0,485;0,494;0,479;0,462;0,188;0,12;0,118;0,116;0,112;0,065;0,095;0,132;0,129;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Комендантский пр., квартал 30-Б, северо-восточнее дома 19 по Богатырскому пр.;78-1-7842;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";1,1;;План;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Комендантский пр., квартал 30-Б, северо-восточнее дома 19 по Богатырскому пр.;78-1-7842;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";;Нет;Факт;0,238;0,228;0,147;0,182;0,15;0,134;0,148;0,202;0,235;0,262;0,303;0,28;0,27;0,257;0,221;0,223;0,181;0,199;0,21;0,222;0,14;0,117;0,122;0,082;0,088;0,09;0,156;0,307;0,285;0,169;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Пионерская ул., д.53, лит.Л;78-1-7843;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";1,1;;План;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;0,267;0,266;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Пионерская ул., д.53, лит.Л;78-1-7843;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";;Нет;Факт;0,216;0,186;0,122;0,12;0,146;0,101;0,116;0,197;0,249;0,237;0,229;0,202;0,17;0,177;0,22;0,195;0,117;0,113;0,12;0,097;0,111;0,117;0,115;0,088;0,045;0,039;0,035;0,089;0,279;0,188;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Глиняная ул., д.19, лит.А;78-1-7846;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";1,1;;План;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,034;1,033;1,033;1,033;1,033;1,033;1,033;1,033;1,033;1,033;1,033;1,033;
Энергопромсервис;78-А-8337;78-А-8337 и 78-АТ-8337;Санкт-Петербург, Глиняная ул., д.19, лит.А;78-1-7846;4;3;Общая;"ООО ""Межрегионгаз"", К-5-Б5-62-0020/18, ПАО ""Газпром"", кроме населения, для СПб из ЛО, 111";;Нет;Факт;1,217;1,199;0,737;1,03;1,028;1,038;0,969;0,949;0,976;1,021;1,186;1,004;0,983;1,023;0,993;1,059;0,994;0,999;0,893;1,208;0,996;0,74;0,694;0,683;0,657;0,507;0,777;1,225;1,184;0,921;
